0,0,P,9,1,217
0,1,B,7,0,121
0,2,P,1,0,47
0,3,P,4,1,147
0,4,B,5,1,176
0,5,B,3,1,238
0,6,B,4,1,208
0,7,P,8,0,70
0,8,B,6,0,132
0,9,B,8,1,203
0,10,P,7,0,104
0,11,P,3,1,194
0,12,P,2,1,194
0,13,P,6,1,213
0,14,B,9,0,102
0,15,B,2,1,196
0,16,P,5,0,104
0,17,B,1,0,88
1,0,G,6,1,586
1,1,D,2,0,93
1,2,G,3,0,67
1,3,G,9,1,166
1,4,G,7,1,202
1,5,D,6,0,9
1,6,D,1,0,130
1,7,D,4,1,163
1,8,G,5,0,111
1,9,D,7,0,60
1,10,G,4,1,198
1,11,D,5,0,173
1,12,G,2,0,150
1,13,G,8,1,311
1,14,G,1,1,308
1,15,D,9,0,153
1,16,D,3,1,326
1,17,D,8,1,414
2,0,B,0,0,1639
2,1,G,0,0,1098
2,2,P,0,0,1113
2,3,D,0,0,897
3,0,P,8,1,486
3,1,G,6,1,186
3,2,D,5,0,104
3,3,B,1,1,211
3,4,G,8,0,88
3,5,P,6,1,214
3,6,G,4,1,207
3,7,P,1,1,201
3,8,B,2,0,117
3,9,G,9,0,100
3,10,B,6,0,103
3,11,P,9,0,104
3,12,D,3,0,101
3,13,P,8,0,91
3,14,D,2,0,121
3,15,G,5,0,96
3,16,B,5,0,104
3,17,D,4,1,210
3,18,G,7,0,91
3,19,B,6,0,129
3,20,G,1,0,73
3,21,D,8,0,113
3,22,D,7,1,179
3,23,B,8,1,207
3,24,P,5,0,106
3,25,D,7,0,106
3,26,D,6,1,178
3,27,B,4,1,197
3,28,D,1,1,210
3,29,P,2,0,60
3,30,B,4,0,131
3,31,D,6,1,204
3,32,P,5,0,58
3,33,B,3,0,139
3,34,G,6,0,79
3,35,G,2,1,209
3,36,P,9,1,196
3,37,G,7,1,199
3,38,P,7,1,199
3,39,D,5,0,128
3,40,B,1,1,196
3,41,D,9,1,203
3,42,P,9,0,122
3,43,D,3,0,84
3,44,P,8,0,123
3,45,D,2,0,100
3,46,G,5,0,89
3,47,B,1,0,129
3,48,B,2,1,214
3,49,G,4,0,25
3,50,D,8,0,154
3,51,P,3,0,15
3,52,G,1,1,174
3,53,P,5,1,185
3,54,B,4,0,82
3,55,P,7,0,81
3,56,G,8,1,144
3,57,G,3,1,158
3,58,B,3,0,25
3,59,G,9,0,116
3,60,D,4,0,9
3,61,P,2,1,127
3,62,B,7,0,91
3,63,G,2,0,56
3,64,B,6,0,68
3,65,P,9,0,72
3,66,D,1,0,61
3,67,P,7,0,81
3,68,D,3,0,33
3,69,B,3,1,107
3,70,G,9,1,143
3,71,B,4,0,93
4,0,B,3,1,383
4,1,B,2,1,197
4,2,P,1,0,6
4,3,B,4,1,171
4,4,P,7,0,147
4,5,B,1,0,55
4,6,P,8,0,130
4,7,P,9,1,176
4,8,B,7,0,63
4,9,P,5,0,104
4,10,P,6,1,172
4,11,P,3,1,164
4,12,P,4,1,169
4,13,P,2,1,188
4,14,B,5,0,155
4,15,B,8,2,221
4,16,B,9,1,239
4,17,B,6,1,207
5,0,B,0,1,357
5,1,G,0,1,215
5,2,P,0,0,157
5,3,D,0,1,219
6,0,G,6,1,274
6,1,P,4,0,109
6,2,D,1,1,201
6,3,D,2,1,210
6,4,P,2,1,209
6,5,D,9,1,235
6,6,D,6,1,223
6,7,B,3,0,85
6,8,P,5,0,126
6,9,D,5,1,209
6,10,P,3,1,216
6,11,D,1,1,239
6,12,B,2,0,99
6,13,P,9,0,125
6,14,G,7,0,100
6,15,G,6,1,223
6,16,G,9,1,234
6,17,B,6,1,207
6,18,D,3,0,123
6,19,B,8,0,110
6,20,D,6,0,115
6,21,P,1,1,209
6,22,B,7,0,125
6,23,G,7,1,221
6,24,P,5,0,97
6,25,P,2,1,231
6,26,G,5,0,111
6,27,B,6,1,232
6,28,B,3,1,211
6,29,G,3,1,232
6,30,P,7,0,98
6,31,G,9,0,125
6,32,G,2,1,213
6,33,P,4,0,133
6,34,D,7,1,223
6,35,B,5,0,102
6,36,G,1,1,228
6,37,D,4,0,102
6,38,G,7,0,115
6,39,B,6,1,216
6,40,G,9,1,233
6,41,B,8,1,233
6,42,P,2,0,105
6,43,G,5,0,120
6,44,B,7,1,227
6,45,B,3,1,220
6,46,G,8,1,213
6,47,P,5,0,116
6,48,D,8,1,234
6,49,G,4,0,115
6,50,P,8,0,123
6,51,D,5,1,212
6,52,D,4,1,234
6,53,P,9,1,211
6,54,G,8,0,119
6,55,D,4,0,93
6,56,D,1,1,234
6,57,B,8,0,133
6,58,P,4,0,86
6,59,G,3,0,165
6,60,P,7,0,87
6,61,B,1,0,129
6,62,P,9,0,105
6,63,D,8,1,237
6,64,D,2,1,233
6,65,P,1,1,221
6,66,P,4,1,227
6,67,D,3,1,229
6,68,P,1,1,220
6,69,B,9,0,115
6,70,G,2,1,235
6,71,B,6,1,214
