0,0,P,9,1,150
0,1,B,7,0,103
0,2,P,1,0,41
0,3,P,4,1,145
0,4,B,5,0,46
0,5,B,3,1,111
0,6,B,4,1,111
0,7,P,8,0,90
0,8,B,6,0,14
0,9,B,8,1,108
0,10,P,7,1,113
0,11,P,3,1,120
0,12,P,2,1,125
0,13,P,6,1,114
0,14,B,9,0,86
0,15,B,2,1,118
0,16,P,5,0,44
0,17,B,1,0,76
1,0,G,6,1,127
1,1,D,2,0,23
1,2,G,3,1,138
1,3,G,9,1,134
1,4,G,7,1,146
1,5,D,6,0,57
1,6,D,1,1,127
1,7,D,4,1,121
1,8,G,5,1,140
1,9,D,7,0,109
1,10,G,4,0,36
1,11,D,5,0,90
1,12,G,2,0,46
1,13,G,8,1,135
1,14,G,1,1,154
1,15,D,9,0,58
1,16,D,3,1,127
1,17,D,8,0,116
2,0,B,0,0,44
2,1,G,0,0,47
2,2,P,0,1,167
2,3,D,0,0,26
3,0,P,8,1,90
3,1,G,6,1,149
3,2,D,5,0,29
3,3,B,1,1,130
3,4,G,8,1,135
3,5,P,6,1,135
3,6,G,4,1,131
3,7,P,1,1,136
3,8,B,2,0,91
3,9,G,9,0,42
3,10,B,6,0,94
3,11,P,9,0,38
3,12,D,3,0,100
3,13,P,8,0,33
3,14,D,2,0,84
3,15,G,5,0,52
3,16,B,5,1,207
3,17,D,4,1,146
3,18,G,7,0,118
3,19,B,6,0,10
3,20,G,1,1,153
3,21,D,8,0,116
3,22,D,7,1,127
3,23,B,8,1,138
3,24,P,5,0,70
3,25,D,7,1,189
3,26,D,6,1,128
3,27,B,4,0,144
3,28,D,1,1,142
3,29,P,2,0,25
3,30,B,4,0,112
3,31,D,6,1,143
3,32,P,5,0,63
3,33,B,3,0,77
3,34,G,6,0,78
3,35,G,2,1,154
3,36,P,9,1,168
3,37,G,7,2,160
3,38,P,7,1,152
3,39,D,5,0,117
3,40,B,1,1,145
3,41,D,9,1,143
3,42,P,9,0,62
3,43,D,3,0,106
3,44,P,8,0,44
3,45,D,2,1,193
3,46,G,5,0,122
3,47,B,1,0,138
3,48,B,2,1,128
3,49,G,4,0,44
3,50,D,8,0,109
3,51,P,3,0,44
3,52,G,1,1,171
3,53,P,5,1,146
3,54,B,4,0,158
3,55,P,7,0,5
3,56,G,8,1,176
3,57,G,3,1,156
3,58,B,3,0,102
3,59,G,9,0,80
3,60,D,4,0,43
3,61,P,2,1,145
3,62,B,7,0,136
3,63,G,2,0,33
3,64,B,6,1,344
3,65,P,9,0,23
3,66,D,1,0,107
3,67,P,7,0,88
3,68,D,3,0,57
3,69,B,3,1,158
3,70,G,9,1,159
3,71,B,4,0,116
4,0,B,3,1,127
4,1,B,2,2,199
4,2,P,1,0,139
4,3,B,4,0,41
4,4,P,7,0,122
4,5,B,1,0,60
4,6,P,8,0,109
4,7,P,9,1,146
4,8,B,7,0,103
4,9,P,5,0,63
4,10,P,6,1,146
4,11,P,3,0,141
4,12,P,4,1,159
4,13,P,2,0,136
4,14,B,5,0,91
4,15,B,8,2,321
4,16,B,9,2,262
4,17,B,6,1,172
5,0,B,0,1,149
5,1,G,0,1,210
5,2,P,0,0,84
5,3,D,0,2,368
6,0,G,6,1,139
6,1,P,4,0,127
6,2,D,1,1,161
6,3,D,2,1,145
6,4,P,2,1,148
6,5,D,9,1,159
6,6,D,6,1,145
6,7,B,3,1,154
6,8,P,5,0,108
6,9,D,5,2,268
6,10,P,3,1,121
6,11,D,1,0,126
6,12,B,2,0,49
6,13,P,9,0,88
6,14,G,7,0,76
6,15,G,6,1,164
6,16,G,9,1,163
6,17,B,6,0,174
6,18,D,3,0,20
6,19,B,8,1,158
6,20,D,6,0,106
6,21,P,1,1,177
6,22,B,7,1,191
6,23,G,7,1,183
6,24,P,5,0,166
6,25,P,2,1,211
6,26,G,5,0,28
6,27,B,6,1,178
6,28,B,3,1,211
6,29,G,3,1,220
6,30,P,7,0,154
6,31,G,9,0,88
6,32,G,2,1,202
6,33,P,4,0,105
6,34,D,7,1,202
6,35,B,5,0,68
6,36,G,1,1,172
6,37,D,4,0,142
6,38,G,7,0,42
6,39,B,6,1,181
6,40,G,9,1,208
6,41,B,8,1,222
6,42,P,2,0,129
6,43,G,5,0,79
6,44,B,7,1,165
6,45,B,3,1,181
6,46,G,8,1,145
6,47,P,5,0,154
6,48,D,8,1,154
6,49,G,4,0,62
6,50,P,8,0,89
6,51,D,5,1,159
6,52,D,4,0,115
6,53,P,9,1,131
6,54,G,8,0,67
6,55,D,4,0,68
6,56,D,1,1,124
6,57,B,8,1,152
6,58,P,4,0,75
6,59,G,3,0,87
6,60,P,7,0,28
6,61,B,1,1,134
6,62,P,9,0,107
6,63,D,8,1,115
6,64,D,2,1,127
6,65,P,1,1,121
6,66,P,4,0,117
6,67,D,3,1,114
6,68,P,1,1,128
6,69,B,9,0,41
6,70,G,2,1,146
6,71,B,6,1,137
