0,0,P,9,1,337
0,1,B,7,0,50
0,2,P,1,0,92
0,3,P,4,1,130
0,4,B,5,0,31
0,5,B,3,0,97
0,6,B,4,1,98
0,7,P,8,0,42
0,8,B,6,0,62
0,9,B,8,1,102
0,10,P,7,0,62
0,11,P,3,1,130
0,12,P,2,1,117
0,13,P,6,2,145
0,14,B,9,0,83
0,15,B,2,1,122
0,16,P,5,0,20
0,17,B,1,0,98
1,0,G,6,0,140
1,1,D,2,0,41
1,2,G,3,1,127
1,3,G,9,1,140
1,4,G,7,1,127
1,5,D,6,0,38
1,6,D,1,1,125
1,7,D,4,2,226
1,8,G,5,1,94
1,9,D,7,0,108
1,10,G,4,0,15
1,11,D,5,0,96
1,12,G,2,0,31
1,13,G,8,1,134
1,14,G,1,1,141
1,15,D,9,0,58
1,16,D,3,1,135
1,17,D,8,1,127
2,0,B,0,0,15
2,1,G,0,0,97
2,2,P,0,1,163
2,3,D,0,0,1
3,0,P,8,1,129
3,1,G,6,2,160
3,2,D,5,0,100
3,3,B,1,1,113
3,4,G,8,0,49
3,5,P,6,1,119
3,6,G,4,1,125
3,7,P,1,1,133
3,8,B,2,0,93
3,9,G,9,0,44
3,10,B,6,0,100
3,11,P,9,0,28
3,12,D,3,0,93
3,13,P,8,0,65
3,14,D,2,1,85
3,15,G,5,1,142
3,16,B,5,0,95
3,17,D,4,1,144
3,18,G,7,0,35
3,19,B,6,0,104
3,20,G,1,0,36
3,21,D,8,0,101
3,22,D,7,1,134
3,23,B,8,1,125
3,24,P,5,0,54
3,25,D,7,0,73
3,26,D,6,1,117
3,27,B,4,1,117
3,28,D,1,0,116
3,29,P,2,0,9
3,30,B,4,0,111
3,31,D,6,1,138
3,32,P,5,0,56
3,33,B,3,0,120
3,34,G,6,0,23
3,35,G,2,1,164
3,36,P,9,0,156
3,37,G,7,1,161
3,38,P,7,1,170
3,39,D,5,0,45
3,40,B,1,1,150
3,41,D,9,1,136
3,42,P,9,1,169
3,43,D,3,0,100
3,44,P,8,0,71
3,45,D,2,0,82
3,46,G,5,0,78
3,47,B,1,0,62
3,48,B,2,1,131
3,49,G,4,0,145
3,50,D,8,0,3
3,51,P,3,1,160
3,52,G,1,1,157
3,53,P,5,1,159
3,54,B,4,0,77
3,55,P,7,0,75
3,56,G,8,1,164
3,57,G,3,1,154
3,58,B,3,0,36
3,59,G,9,1,132
3,60,D,4,0,106
3,61,P,2,0,58
3,62,B,7,0,73
3,63,G,2,0,90
3,64,B,6,0,77
3,65,P,9,0,91
3,66,D,1,0,55
3,67,P,7,0,129
3,68,D,3,0,5
3,69,B,3,0,132
3,70,G,9,0,36
3,71,B,4,0,107
4,0,B,3,1,157
4,1,B,2,1,172
4,2,P,1,0,6
4,3,B,4,1,149
4,4,P,7,0,110
4,5,B,1,0,36
4,6,P,8,0,97
4,7,P,9,1,155
4,8,B,7,0,31
4,9,P,5,0,111
4,10,P,6,1,143
4,11,P,3,2,153
4,12,P,4,0,106
4,13,P,2,1,130
4,14,B,5,0,23
4,15,B,8,1,143
4,16,B,9,0,123
4,17,B,6,1,125
5,0,B,0,1,128
5,1,G,0,1,156
5,2,P,0,0,33
5,3,D,0,1,146
6,0,G,6,1,130
6,1,P,4,0,162
6,2,D,1,1,155
6,3,D,2,1,164
6,4,P,2,1,157
6,5,D,9,1,137
6,6,D,6,1,149
6,7,B,3,0,75
6,8,P,5,0,70
6,9,D,5,1,135
6,10,P,3,1,137
6,11,D,1,0,124
6,12,B,2,0,7
6,13,P,9,0,123
6,14,G,7,0,26
6,15,G,6,1,151
6,16,G,9,1,147
6,17,B,6,1,160
6,18,D,3,1,249
6,19,B,8,0,41
6,20,D,6,0,92
6,21,P,1,0,146
6,22,B,7,0,60
6,23,G,7,1,192
6,24,P,5,0,88
6,25,P,2,1,135
6,26,G,5,0,91
6,27,B,6,2,168
6,28,B,3,1,169
6,29,G,3,1,183
6,30,P,7,0,42
6,31,G,9,0,136
6,32,G,2,2,178
6,33,P,4,0,134
6,34,D,7,1,128
6,35,B,5,0,88
6,36,G,1,1,165
6,37,D,4,0,71
6,38,G,7,0,106
6,39,B,6,1,172
6,40,G,9,2,167
6,41,B,8,1,363
6,42,P,2,0,134
6,43,G,5,0,55
6,44,B,7,1,199
6,45,B,3,1,173
6,46,G,8,0,161
6,47,P,5,0,5
6,48,D,8,1,171
6,49,G,4,0,165
6,50,P,8,0,12
6,51,D,5,1,197
6,52,D,4,1,203
6,53,P,9,1,201
6,54,G,8,0,166
6,55,D,4,0,20
6,56,D,1,1,189
6,57,B,8,0,165
6,58,P,4,0,26
6,59,G,3,0,181
6,60,P,7,0,15
6,61,B,1,1,218
6,62,P,9,0,162
6,63,D,8,1,188
6,64,D,2,1,187
6,65,P,1,1,203
6,66,P,4,1,223
6,67,D,3,1,204
6,68,P,1,1,207
6,69,B,9,0,73
6,70,G,2,1,219
6,71,B,6,1,197
