0,0,P,9,1,197
0,1,B,7,0,82
0,2,P,1,0,67
0,3,P,4,1,156
0,4,B,5,1,244
0,5,B,3,1,123
0,6,B,4,2,260
0,7,P,8,0,31
0,8,B,6,0,89
0,9,B,8,1,104
0,10,P,7,0,51
0,11,P,3,1,115
0,12,P,2,1,116
0,13,P,6,1,108
0,14,B,9,0,26
0,15,B,2,1,109
0,16,P,5,0,101
0,17,B,1,0,4
1,0,G,6,1,98
1,1,D,2,0,67
1,2,G,3,0,27
1,3,G,9,1,101
1,4,G,7,1,126
1,5,D,6,0,51
1,6,D,1,1,118
1,7,D,4,1,108
1,8,G,5,0,84
1,9,D,7,0,12
1,10,G,4,1,117
1,11,D,5,0,102
1,12,G,2,0,9
1,13,G,8,1,128
1,14,G,1,1,120
1,15,D,9,0,68
1,16,D,3,1,106
1,17,D,8,1,101
2,0,B,0,1,100
2,1,G,0,0,17
2,2,P,0,1,139
2,3,D,0,0,65
3,0,P,8,0,9
3,1,G,6,1,101
3,2,D,5,0,99
3,3,B,1,1,119
3,4,G,8,0,26
3,5,P,6,1,127
3,6,G,4,1,141
3,7,P,1,1,138
3,8,B,2,0,14
3,9,G,9,0,107
3,10,B,6,0,7
3,11,P,9,0,109
3,12,D,3,0,10
3,13,P,8,1,114
3,14,D,2,0,99
3,15,G,5,0,34
3,16,B,5,0,82
3,17,D,4,1,137
3,18,G,7,0,25
3,19,B,6,0,78
3,20,G,1,0,67
3,21,D,8,0,41
3,22,D,7,1,107
3,23,B,8,0,112
3,24,P,5,0,7
3,25,D,7,0,112
3,26,D,6,1,114
3,27,B,4,1,121
3,28,D,1,1,115
3,29,P,2,0,38
3,30,B,4,0,78
3,31,D,6,1,114
3,32,P,5,0,82
3,33,B,3,0,23
3,34,G,6,0,120
3,35,G,2,2,128
3,36,P,9,1,132
3,37,G,7,1,138
3,38,P,7,1,142
3,39,D,5,0,85
3,40,B,1,1,111
3,41,D,9,1,135
3,42,P,9,0,83
3,43,D,3,0,52
3,44,P,8,2,222
3,45,D,2,0,114
3,46,G,5,0,55
3,47,B,1,0,83
3,48,B,2,1,168
3,49,G,4,0,30
3,50,D,8,0,125
3,51,P,3,0,44
3,52,G,1,1,163
3,53,P,5,1,141
3,54,B,4,0,31
3,55,P,7,0,106
3,56,G,8,2,143
3,57,G,3,1,152
3,58,B,3,0,99
3,59,G,9,0,49
3,60,D,4,0,85
3,61,P,2,0,62
3,62,B,7,1,169
3,63,G,2,0,119
3,64,B,6,0,12
3,65,P,9,1,141
3,66,D,1,2,328
3,67,P,7,1,166
3,68,D,3,0,110
3,69,B,3,1,141
3,70,G,9,0,90
3,71,B,4,0,62
4,0,B,3,1,133
4,1,B,2,2,199
4,2,P,1,0,138
4,3,B,4,0,38
4,4,P,7,0,108
4,5,B,1,0,64
4,6,P,8,0,84
4,7,P,9,1,144
4,8,B,7,1,128
4,9,P,5,0,111
4,10,P,6,1,125
4,11,P,3,0,101
4,12,P,4,1,128
4,13,P,2,1,131
4,14,B,5,0,115
4,15,B,8,2,181
4,16,B,9,1,185
4,17,B,6,2,210
5,0,B,0,2,189
5,1,G,0,1,230
5,2,P,0,0,20
5,3,D,0,0,153
6,0,G,6,1,131
6,1,P,4,0,63
6,2,D,1,1,141
6,3,D,2,0,128
6,4,P,2,3,331
6,5,D,9,1,139
6,6,D,6,1,125
6,7,B,3,0,120
6,8,P,5,0,9
6,9,D,5,0,82
6,10,P,3,1,151
6,11,D,1,2,229
6,12,B,2,0,49
6,13,P,9,0,74
6,14,G,7,0,36
6,15,G,6,1,126
6,16,G,9,1,140
6,17,B,6,1,130
6,18,D,3,0,117
6,19,B,8,0,7
6,20,D,6,1,253
6,21,P,1,1,125
6,22,B,7,0,10
6,23,G,7,1,106
6,24,P,5,0,106
6,25,P,2,1,130
6,26,G,5,0,30
6,27,B,6,1,143
6,28,B,3,1,146
6,29,G,3,1,157
6,30,P,7,0,102
6,31,G,9,0,54
6,32,G,2,1,137
6,33,P,4,0,101
6,34,D,7,1,129
6,35,B,5,0,46
6,36,G,1,1,143
6,37,D,4,0,105
6,38,G,7,0,4
6,39,B,6,1,152
6,40,G,9,1,153
6,41,B,8,1,152
6,42,P,2,0,113
6,43,G,5,0,39
6,44,B,7,1,138
6,45,B,3,1,159
6,46,G,8,1,139
6,47,P,5,1,236
6,48,D,8,1,180
6,49,G,4,0,83
6,50,P,8,0,67
6,51,D,5,1,162
6,52,D,4,1,164
6,53,P,9,1,141
6,54,G,8,0,80
6,55,D,4,0,71
6,56,D,1,1,149
6,57,B,8,0,96
6,58,P,4,0,41
6,59,G,3,0,98
6,60,P,7,0,41
6,61,B,1,0,123
6,62,P,9,0,12
6,63,D,8,1,143
6,64,D,2,0,125
6,65,P,1,1,125
6,66,P,4,1,150
6,67,D,3,1,123
6,68,P,1,1,135
6,69,B,9,0,90
6,70,G,2,2,200
6,71,B,6,1,166
